"Canton","Vehicle group / type","Fuel","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Switzerland","> Passenger cars","Petrol",2905762,2975154,3006666,3022762,3073062,3132238,3166299,3216484,3269402,3342265,3402309,3456468,3486757,3490699,3489925,3475004,3442302,3418081,3370326,3320810,3308634,3301501,3278675,3234560,3201710,3173806,3149902,3127023,3114726,3099442,3087390,3054773,2991092
"Switzerland","> Passenger cars","Diesel",79129,81883,83640,85703,90747,95585,100412,105718,112736,123969,141863,172097,213184,261987,319905,381189,450992,524614,596480,666089,739112,827094,934084,1035843,1123676,1214075,1291500,1346938,1374246,1382645,1379077,1360111,1319337
"Switzerland","> Passenger cars","Electricity",409,671,771,774,775,770,759,753,746,724,754,690,676,651,625,592,562,528,517,512,665,1044,1758,2683,4439,7531,10724,14539,19181,28716,43396,71697,110751
"Switzerland","> Passenger cars","Other",97,90,151,284,458,583,623,500,423,353,321,458,334,553,896,4657,6158,12564,22488,22191,27414,33364,40208,47799,54665,62657,71903,82323,94535,113149,148472,222785,300100
"Switzerland","> Passenger cars","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Passenger car","Petrol",2905762,2975154,3006666,3022762,3073062,3132238,3166299,3216484,3269402,3342265,3402309,3456468,3486757,3490699,3489925,3475004,3442302,3418081,3370326,3320810,3308634,3301501,3278675,3234560,3201710,3173806,3149902,3127023,3114726,3099442,3087390,3054773,2991092
"Switzerland","... Passenger car","Diesel",79129,81883,83640,85703,90747,95585,100412,105718,112736,123969,141863,172097,213184,261987,319905,381189,450992,524614,596480,666089,739112,827094,934084,1035843,1123676,1214075,1291500,1346938,1374246,1382645,1379077,1360111,1319337
"Switzerland","... Passenger car","Electricity",409,671,771,774,775,770,759,753,746,724,754,690,676,651,625,592,562,528,517,512,665,1044,1758,2683,4439,7531,10724,14539,19181,28716,43396,71697,110751
"Switzerland","... Passenger car","Other",97,90,151,284,458,583,623,500,423,353,321,458,334,553,896,4657,6158,12564,22488,22191,27414,33364,40208,47799,54665,62657,71903,82323,94535,113149,148472,222785,300100
"Switzerland","... Passenger car","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Passenger vehicles","Petrol",18410,18864,19063,19059,19100,19151,19530,19198,18743,18293,17607,16779,16227,15687,14929,14148,13601,13148,12416,12074,11499,11077,10589,9965,9461,9196,9003,8778,8575,8413,8335,8312,8209
"Switzerland","> Passenger vehicles","Diesel",12747,14067,15032,15750,16513,17290,18044,19230,20192,21333,22573,24485,26102,27878,29783,31188,32634,34614,35674,38112,40650,43742,47094,49571,52432,56001,60137,64482,68844,74010,79195,88460,95678
"Switzerland","> Passenger vehicles","Electricity",16,31,30,27,28,30,31,34,34,30,31,32,35,28,28,32,33,32,36,26,28,44,44,49,52,54,55,58,76,89,103,156,262
"Switzerland","> Passenger vehicles","Other",7,6,11,16,35,46,57,46,43,36,49,46,37,36,44,397,177,232,410,463,574,559,551,566,491,469,481,496,490,542,660,877,1009
"Switzerland","> Passenger vehicles","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Light motor vehicle","Petrol",13229,13520,13561,13396,13279,13082,13393,13094,12649,12134,11591,11038,10716,10395,10106,9815,9643,9676,9457,9492,9302,9132,8882,8566,8290,8167,8089,7950,7849,7769,7753,7780,7732
"Switzerland","... Light motor vehicle","Diesel",4906,6032,6935,7589,8171,8833,9453,10259,10894,11612,12397,13466,14420,15531,16689,17338,18292,19637,20778,22494,24350,26919,29887,32715,35599,38987,42898,47141,51347,56331,62514,71227,78129
"Switzerland","... Light motor vehicle","Electricity",0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,3,3,2,4,4,3,3,4,4,6,9,18,37
"Switzerland","... Light motor vehicle","Other",5,4,6,4,6,5,6,5,6,3,3,4,2,3,5,304,70,96,177,220,284,274,258,244,193,171,164,152,142,136,136,135,137
"Switzerland","... Light motor vehicle","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy motor vehicle","Petrol",135,138,153,167,168,190,205,224,219,250,244,240,245,256,253,252,289,281,270,257,239,235,238,217,217,218,210,206,196,191,197,192,189
"Switzerland","... Heavy motor vehicle","Diesel",523,549,581,598,626,621,643,696,730,762,833,929,1042,1210,1326,1435,1515,1665,1749,1949,2184,2424,2720,2889,3059,3255,3539,3748,4025,4327,4545,5056,5360
"Switzerland","... Heavy motor vehicle","Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy motor vehicle","Other",0,0,0,1,1,2,2,2,2,2,2,2,1,0,1,22,10,7,43,54,63,54,46,43,34,28,31,30,27,29,28,29,32
"Switzerland","... Heavy motor vehicle","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Coach, bus","Petrol",65,79,91,99,104,109,115,46,59,77,75,73,77,72,66,68,90,93,74,69,64,64,64,60,57,56,51,53,48,44,39,42,31
"Switzerland","... Coach, bus","Diesel",5954,6038,6026,6018,6008,5950,5872,5895,5776,5738,5677,5652,5625,5619,5717,5897,5995,6142,5931,5973,6066,6238,6320,6309,6421,6539,6638,6737,6822,6877,6026,6269,6421
"Switzerland","... Coach, bus","Electricity",5,13,11,12,13,14,15,14,16,14,14,14,14,14,15,17,17,16,17,8,8,9,10,12,14,16,16,16,19,24,28,47,106
"Switzerland","... Coach, bus","Other",2,2,4,6,16,19,34,27,23,19,33,32,30,30,34,50,60,73,107,122,125,129,148,173,164,168,177,178,181,236,334,505,594
"Switzerland","... Coach, bus","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Petrol",4980,5126,5257,5396,5548,5768,5815,5832,5813,5828,5695,5427,5188,4963,4503,4012,3577,3096,2614,2256,1894,1646,1405,1122,897,755,653,569,482,409,346,298,257
"Switzerland","... Minibus","Diesel",925,991,1021,1044,1186,1349,1524,1817,2211,2625,3020,3695,4194,4666,5124,5530,5807,6095,6194,6593,6912,6991,6957,6415,6039,5836,5607,5384,5098,4861,4457,4242,4134
"Switzerland","... Minibus","Electricity",3,3,4,6,6,7,5,9,7,7,8,9,12,13,12,14,13,13,15,15,16,19,19,19,20,21,22,24,27,28,31,34,29
"Switzerland","... Minibus","Other",0,0,1,5,12,15,14,11,11,11,10,8,4,3,4,18,24,21,27,14,17,15,12,12,6,6,6,7,6,6,5,6,6
"Switzerland","... Minibus","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
